question,label,response,api_endpoint
"what is Twin Sight™?",TwinSight,"Twin Sight™ supports visualization and reporting of large-scale analytics and machine learning models.",N/A
"what does EOT Twin Central™ facilitate?",EOTTwinCentral,"It facilitates the creation of an asset-centric, single source of truth semantic data model.",N/A
"how does EOT's AI Edge Controller work?",AIEdgeController,"It delivers trained ML models from the cloud to the operational edge for anomaly detection and self-optimization.",N/A
"Hello!",Hi1,"Hello there! I'm EOT TwinTalk AI. What can I do for you today?",N/A
"Hello!",Hi2,"Hi! EOT TwinTalk AI at your service. Ask me anything about TwinTalk.",N/A
"Hello!",Hi3,"Hey! I am the EOT TwinTalk AI. What would you like to know about TwinTalk?",N/A
"Hello!",Hi4,"Hi there! EOT TwinTalk AI ready to assist with your TwinTalk inquiries.",N/A
"Hello!",Hi5,"Howdy! Feel free to ask me about TwinTalk.",N/A
"Hey!",Hey1,"Hello there! I'm EOT TwinTalk AI. How can I assist you today?",N/A
"Hey!",Hey2,"Hi! I'm EOT TwinTalk AI, here to help you with any TwinTalk queries.",N/A
"Hey!",Hey3,"Hey! Need any information about TwinTalk? I'm here to help.",N/A
"Hey!",Hey4,"Hi there! EOT TwinTalk AI at your service. What can I do for you?",N/A
"Hey!",Hey5,"Howdy! I'm EOT TwinTalk AI. What would you like to know?",N/A
"Hello!",Hello1,"Hello there! I'm EOT TwinTalk AI. What can I do for you today?",N/A
"Hello!",Hello2,"Hi! EOT TwinTalk AI at your service. Ask me anything about TwinTalk.",N/A
"Hello!",Hello3,"Hey! I am the EOT TwinTalk AI. What would you like to know about TwinTalk?",N/A
"Hello!",Hello4,"Hi there! EOT TwinTalk AI ready to assist with your TwinTalk inquiries.",N/A
"Hello!",Hello5,"Howdy! Feel free to ask me about TwinTalk.",N/A
"Good morning!",GoodMorning1,"Good morning! I'm EOT TwinTalk AI. How can I assist you today?",N/A
"Good morning!",GoodMorning2,"Hi! EOT TwinTalk AI here. What can I do for you this morning?",N/A
"Good morning!",GoodMorning3,"Hello! I am EOT TwinTalk AI. Need any help this morning?",N/A
"Good morning!",GoodMorning4,"Hey there! EOT TwinTalk AI at your service. How can I help you today?",N/A
"Good morning!",GoodMorning5,"Howdy! What would you like to know this morning?",N/A
"Good afternoon!",GoodAfternoon1,"Good afternoon! I'm EOT TwinTalk AI. How can I assist you today?",N/A
"Good afternoon!",GoodAfternoon2,"Hi! EOT TwinTalk AI here. What can I do for you this afternoon?",N/A
"Good afternoon!",GoodAfternoon3,"Hello! I am EOT TwinTalk AI. Need any help this afternoon?",N/A
"Good afternoon!",GoodAfternoon4,"Hey there! EOT TwinTalk AI at your service. How can I help you today?",N/A
"Good afternoon!",GoodAfternoon5,"Howdy! What would you like to know this afternoon?",N/A
