question,answer
"251
Multiattribute Drilling System Selection
where n is the index for possible technologies, M is the number of possible 
technologies within each subset, and yn is a binary decision variable?","the index for possible technologies, M."
"This 
constraint ensures that only one technology will be selected for each subset 
except subsets (7), (8), and (13) because subsets (7), (8), and (13) are optional 
(see Figure 9?","constraint ensures that only one technology will be selected for each subset 
except subsets (7), (8), and (13) because subsets (7), (8), and (13) are optional 
(see Figure 9."
"In this case study, for example, the range of unconventional 
power usage is varied from 0% to 30% of total power usage, so if it is decided 
not to use an unconventional power generation technology (subset (7)), an 
energy storage device (subset (8)) is also not considered as a possible subset?","case study, for example, the range of unconventional 
power usage."
"6 shows an example of single-attribute utility function curves used 
in this case study?",case study.
These are the same utility functions used in Yu et al?,the same utility functions used in Yu et al.
"A utility function is a relationship between the dimensional attribute score 
(e?","a relationship between the dimensional attribute score 
(e."
", $, acres, and grades) and a nondimensional number (between 0 and 1) 
that captures decision maker preferences?",ion maker preferences.
"The utility function is used to 
12?","used to 
12."
"Noise
reduction
facility
2?","e
reduction
facility
2."
"This 
allows the decision maker to make the overall attribute score for each attri-
bute uniform and comparable?",allows the dec.
"In situations with multiple evaluation attributes, the term “utility func-
tion” is used in the literature to mean a function that encodes trade-offs 
among the multiple evaluation attributes when either (1) uncertainty is not 
formally modeled with probabilities, or (2) uncertainty is formally modeled 
with probabilities and expected utility is used as the decision criterion?","used in the literature to mean a function that encodes trade-offs 
among the multiple evaluation attributes when either (1) uncertainty."
"We 
do not formally model uncertainty with probabilities in this chapter?",chapter.
"What 
we call a utility function is sometimes called a value function [7]?",sometimes called a value function [7].
"In this 
study, the general shapes of the utility function for each attribute are linear 
with the exception of the noise attribute?","study, the general shapes of the utility function for each attribute are linear 
with the exception of the no."
"It is very important, before proceed-
ing, to do consistency checks on the reasonableness of the shape of the util-
ity functions [7]?","very important, before proceed-
ing, to do cons."
"Once each single-attribute utility function ui(Xi) is derived 
for its attribute measure, these individual utility values are combined into a 
final utility value?","derived 
for its attribute measure, these individual utility values are combined into a 
final utility value."
"The multiattribute utility function with the additive form 
used in this case study is shown in Equation 9?",case study.
"4)
where ui(Xi) is the utility of the ith attribute scaled from 0 to 1, and ki is the 
weighting constant for the ith attribute?","the utility of the ith attribute scaled from 0 to 1, and ki."
"In general, weight factors are elicited 
1
0?","elicited 
1
0."
"2
X1 = Total cost ($ M)
X5 = Noise emission (TWA)
1?",e em.
"253
Multiattribute Drilling System Selection
from a decision maker?",ion maker.
"For this case study, the base-case weight factors were 
assessed by two EFD experts who participated in this research as shown 
in Table 9?","case study, the base-case weight factors were 
assessed by two EFD experts who participated in th."
"Another procedure 
is to assign points to each attribute in proportion to its relative importance 
within the level of the hierarchy?","to assign points to each attribute in proportion to its relative importance 
within the level of the hierarchy."
"In this study, direct scoring procedure was 
used?","study, direct scoring procedure was 
used."
"3), it is assumed that the experts determined that a unit increase in utility 
in the cost objective and the environmental impact objective is eight times 
as important as a unit increase in utility in the safety objective, and a unit 
increase in utility in the perception objective is three times as important as 
a unit increase in utility in the safety objective?","assumed that the experts determined that a unit increase in utility 
in the cost objective and the environmental impact objective."
This implies weights of 0?,implies weights of 0.
"The experts also determined that a unit 
increase in utility in the footprint attribute (x2) is three times as important as 
a unit increase in utility in each emission attribute (x3 ~ x5)?","three times as important as 
a unit increase in utility in each em."
"Moreover, they 
determined that the weights of the three emission and perception attributes 
(x3 ~ x6 and x6 ~ x8) are evenly distributed?","sion and perception attributes 
(x3 ~ x6 and x6 ~ x8) are evenly d."
"For example, since a three to one level of importance 
between footprint attribute (x2) and each emission attribute (x3 ~ x5) implies 
3/6, 1/6, 1/6, 1/6 weightings, respectively, the overall weighting for the foot-
print (x2) and air emission (x3) attributes are given by
	
Footprint weight 
4
3/6) 0 2
= 
= 
(?","sion attribute (x3 ~ x5) implies 
3/6, 1/6, 1/6, 1/6 weightings, respectively, the overall weighting for the foot-
print (x2) and air em."
"5)
	
Air emission weight
4
1/6
2/3
=
×
=
(?","sion weight
4
1/6
2/3
=
×
=
(."
"20
Air emission (x3)
0?","sion (x3)
0."
"20/3
Solid/liquid emission (x4)
0?","sion (x4)
0."
"20/3
Noise emission (x5)
0?",e em.
"05
254
Project Management for the Oil and Gas Industry
The overall weights for other attributes are similarly calculated and ­
presented 
in Table 9?","similarly calculated and ­
presented 
in Table 9."
5 is used to find the base-case optimal drilling system?,used to find the base-case optimal drilling system.
"It is noted that attribute scores 
are not evaluated for the empty cells because those attribute scores are not 
relevant to the particular subsets, or because these are already included in 
technologies within other subsets?","noted that attribute scores 
are not evaluated for the empty cells because those attribute scores are not 
relevant to the particular subsets, or because these are already included in 
technologies within other subsets."
"After the optimization scheme has given 
the “best” system, a sensitivity analysis should be conducted to help the 
decision maker understand how robust the best system is to changes in the 
input parameters such as attribute scores and weight factors?","should be conducted to help the 
dec."
"Conducting 
a sensitivity analysis for the system selection process is an important step 
because it can give an idea of the range of weights over which certain sys-
tems should be selected for a specific site [11]?",for the system selection process.
"Sensitivity Analysis for Weight Factors of Each Attribute
The first step in conducting a sensitivity analysis is to examine discrete com-
binations of input values?","for Weight Factors of Each Attribute
The first step in conducting a sensitivity analys."
"A sensitivity analysis for different weight com-
binations is presented in this section?","for different weight com-
binations."
", 
different points of view) are defined by EFD experts as shown in Table 9?",defined by EFD experts as shown in Table 9.
"6, 
the optimization routine is run for each weight combination, and then the 
results are compared as shown in Table 9?","run for each weight combination, and then the 
results are compared as shown in Table 9."
"6 shows that each weight 
combination includes five weight components (W1 ~ W5), and it is noted that 
three emission attributes (x3 ~ x5) and three perception attributes (x6 ~ x8) are 
grouped in W4 and W5, respectively?","noted that 
three em."
"In this step, the change in the final utility score of the optimal system is not 
a good sensitivity measure because the final utility score directly depends 
on the input parameters being used and there are also many uncertainties 
in those input values?","step, the change in the final utility score of the optimal system."
"Instead, it is suggested to look at the changes in the 
technologies selected for the optimal system because this is the decision that 
is of most interest to the decision makers?","suggested to look at the changes in the 
technologies selected for the optimal system because th."
"A sensitivity analysis for uncertainty in the weight combinations is 
also conducted in this case study?",for uncertainty in the weight combinations.
"This includes uncertainties in what the 
255
Multiattribute Drilling System Selection
Weights (Σ = 100% ∴ O?","includes uncertainties in what the 
255
Multiattribute Drilling System Selection
Weights (Σ = 100% ∴ O."
"667%
5%
5%
5%
5%
Selected Technologies in Each Subset
Total 
Cost ($)
Ecological 
Footprint 
(Acres)
Emissions
Perceptions
Safety 
Value
Air
Solid and 
Liquid
Noise 
(TWA)
Gov?","sions
Perceptions
Safety 
Value
Air
Solid and 
Liquid
No."
"
Transportation: Low sulphur diesel truck 
w/tier III engine, w/noise suppressor
1?","e suppressor
1."
"
Rig power (Conventional): Lean-burn 
natural gas engines w/noise supperssor
$70,354
0?","e supperssor
$70,354
0."
": Underbalanced drilling 
w/noise supperssor
$184,500
95?","e supperssor
$184,500
95."
"Noise reduction facility: N/A
Overall attribute scores (Σ or minimum value)
$856,724
2?","e reduction facility: N/A
Overall attribute scores (Σ or minimum value)
$856,724
2."
"849
256
Project Management for the Oil and Gas Industry
proper weight combinations are for the EFD technology selection problem?",for the EFD technology selection problem.
"In order to generate the combinations of weights required to conduct this 
sensitivity analysis, upper and lower bounds on the parameters need to be 
assessed?",sensitivity analys.
"This can be done by asking project staff members and decision 
makers for absolute bounds for each attribute weight (i?",can be done by asking project staff members and dec.
", the highest and 
lowest), or by asking for probabilistic bounds (e?",tic bounds (e.
", the 95th and 5th percen-
tiles of a probability distribution for each attribute weight) [1]?",tribution for each attribute weight) [1].
"In this case 
study, the lower and upper bounds of each weight component (W1 ~ W5) are 
assigned between zero (the possible minimum weight) and one (the possi-
ble maximum weight) as shown in Table 9?","case 
study, the lower and upper bounds of each weight component (W1 ~ W5) are 
assigned between zero (the possible minimum weight) and one (the possi-
ble maximum weight) as shown in Table 9."
"This is primarily because of a 
lack of expert assessment of this part of the process?",.
"Notice that the weights 
of attributes included in W3 and W4 are always evenly distributed in this 
study?",tributed in th.
"8, this study enumerates all 
possible weight combinations within these bounds that summed to one in 
increments of 0?","study enumerates all 
possible weight combinations within these bounds that summed to one in 
increments of 0."
"Since the weights must sum to one (the standard normal-
ization technique used in decision analysis), as one weight increases, the 
others must decrease?",ion analys.
"In this case study, as W1 increases, the other weights 
(i?","case study, as W1 increases, the other weights 
(i."
"The weights of the other attributes are 
changed proportionally once the weight of the cost attribute varies?",changed proportionally once the weight of the cost attribute varies.
"The 
total number of weight combinations for further consideration is about 410 
in this sensitivity analysis?","about 410 
in th."
"Deciding on the number of combinations of weights being used in a 
sensitivity analysis usually involves a trade-off between increased com-
putational time for the analysis and the potential for increased modeling 
accuracy?","usually involves a trade-off between increased com-
putational time for the analys."
This trade-off needs to be made on a case-specific basis [1]?,trade-off needs to be made on a case-specific bas.
"Once 
the combinations of input parameters are defined, the optimization routine 
is performed for each combination?",performed for each combination.
"This has the potential to consume sig-
nificant time in the process, especially for problems where a large number 
of technologies are considered?","has the potential to consume sig-
nificant time in the process, especially for problems where a large number 
of technologies are considered."
"In this sensitivity analysis where weights 
are varied, 12 different drilling systems are selected as the optimal sys-
tems for at least one of the weight combinations being considered?",sensitivity analys.
"6
​
Weight Combinations Used in the Sensitivity to Point of View Analysis
Weight 
No?","Weight 
No."
"Cost 
(W1)
Footprint 
(W2)
Emissions (W3)
Perception (W4)
Safety 
(W5)
Note
Air
S/L
Noise
Govt?","sions (W3)
Perception (W4)
Safety 
(W5)
Note
Air
S/L
No."
"7
Results of the Sensitivity Analysis
Subsets
For Weight #1
For Weight #2
For Weight #3 and #4
1?","Subsets
For Weight #1
For Weight #2
For Weight #3 and #4
1."
"Transportation
Conventional diesel truck
Low-sulfur diesel truck w/tier 
III engine, w/noise suppressor
Low-sulfur diesel truck w/tier 
III engine, w/noise suppressor
2?","e suppressor
Low-sulfur diesel truck w/tier 
III engine, w/no."
"Conventional power
Lean-burn natural gas engines 
w/noise suppressor
Lean-burn natural gas engines 
w/noise suppressor
Lean-burn natural gas engines 
w/noise suppressor
6?","e suppressor
Lean-burn natural gas engines 
w/no."
"Drilling technology
Underbalanced drilling 
w/noise suppressor
Underbalanced drilling 
w/noise suppressor
Managed pressure drilling 
w/noise suppressor
10?","e suppressor
Underbalanced drilling 
w/no."
"Noise reduction facility
None
None
None
258
Project Management for the Oil and Gas Industry
shows the proportion of the 410 weights for which each of the 12 systems 
selected for this sensitivity analysis?","e reduction facility
None
None
None
258
Project Management for the Oil and Gas Industry
shows the proportion of the 410 weights for which each of the 12 systems 
selected for th."
"The fact that SET 1, the most frequently 
selected optimal solution, is selected for only 42% of the weight combina-
tions emphasizes the need for a sensitivity analysis?","selected for only 42% of the weight combina-
tions emphasizes the need for a sensitivity analys."
"Throughout the sensitivity analysis conducted in this section, the six most 
frequently selected drilling systems are suggested for further analysis for 
the Green Lake drilling site as shown in Figure 9?",conducted in th.
"9, only SET 6 was selected for inclusion in the sensitivity 
analysis because SET 6 has a specific combination of technologies, a conven-
tional drilling system, while the others (SETs 7–9) are similar to SETs 4 and 5?","because SET 6 has a specific combination of technologies, a conven-
tional drilling system, while the others (SETs 7–9) are similar to SETs 4 and 5."
8 shows which technologies are selected for each suggested system?,selected for each suggested system.
"In this case, the technologies 
selected for five subsets (i?","case, the technologies 
selected for five subsets (i."
", (2), (4), (10), (12), and (13)) are always same in all 
suggested systems?","always same in all 
suggested systems."
"Therefore, if sensitivity to weights is the only concern, 
the optimal decision would revolve around the technologies for only eight 
subsets of the original 13 subsets?","the only concern, 
the optimal dec."
"9 shows the comparison of the 
single-attribute utility values of the six suggested drilling systems described 
in Figure 9?","on of the 
single-attribute utility values of the six suggested drilling systems described 
in Figure 9."
"11 show which system should be selected as W1 and W2 are 
varied, respectively, by the ratio of the base-case weight combination (Weight 
No?","varied, respectively, by the ratio of the base-case weight combination (Weight 
No."
"10 shows that SET 2 is preferred over SET 
1 as W1 increases, and SET 4, containing 30% of unconventional power usage, 
is only selected as the optimal system when the cost attribute has a very low 
weight (W1 < 4%)?","preferred over SET 
1 as W1 increases, and SET 4, containing 30% of unconventional power usage,."
"This is because currently developed unconventional power 
TABLE 9?",.
"8
Range of the Allowable Weight Factor for Each Attribute
Weights
Cost (W1) Footprint (W2)
Emissions (W3)
Perception (W4)
Safety (W5)
Air
S/L
Noise
Govt?","sions (W3)
Perception (W4)
Safety (W5)
Air
S/L
No."
"9
Proportion of the Optimal Systems for This Case Study
SET No?","Case Study
SET No."
"5
259
Multiattribute Drilling System Selection
generation methods and energy storage devices are costly even though they 
significantly decrease emission rates?",sion rates.
"Moreover, “conventional diesel truck” 
is selected for subset (1) rather than “low-sulfur diesel truck with noise sup-
pressor” when W1 is greater than 60% because “conventional diesel truck” is 
cheaper than “low-sulfur diesel truck with noise suppressor?",selected for subset (1) rather than “low-sulfur diesel truck with no.
"The main purpose of graphically displaying the results of sensitivity anal-
ysis is to help the decision maker clearly understand what the results of a 
decision support analysis mean [12]?","playing the results of sensitivity anal-
ys."
"Another way of displaying the results 
of the sensitivity analysis originally developed by Guikema and Milke [1] is 
shown in Figures 9?","playing the results 
of the sensitivity analys."
"This display method is more useful and intuitive when people want to know 
which system should be selected with a given weight combination?",d.
"However, 
the drawback of using this method is that they are only three-dimensional 
plots, so two remaining weights should be fixed at zero in this case study?",method.
"000
Total cost
Noise emission
Government perception
Safety value
Industry perception
Public perception
Footprint
Air emission
Solid/liquid emission
0?",e em.
"9
Comparison of the single-attribute utility?",on of the single-attribute utility.
"10
Optimal utility scores of the suggested systems when W1 is varied?",varied.
"11
Optimal utility scores of the suggested systems when W2 is varied?",varied.
"262
Project Management for the Oil and Gas Industry
Sensitivity Analysis for Uncertainty of Overall Attribute Scores
In order to identify how sensitive the overall utility score is to changes in the 
input attribute scores, overall attribute scores of two different systems (i?","for Uncertainty of Overall Attribute Scores
In order to identify how sensitive the overall utility score."
", 
SET 1 and SET 6, which are the most and the least suggested ­
optimal system) 
are varied from the original values with two different discrete weight combi-
nations shown in Table 9?","crete weight combi-
nations shown in Table 9."
"The variation of the cost, ­
footprint, and emission 
attribute scores are ±10% from the original values and the variation of other 
attribute scores (i?","sion 
attribute scores are ±10% from the original values and the variation of other 
attribute scores (i."
", perception and safety) are one level upper and lower 
grade score from the original values?","one level upper and lower 
grade score from the original values."
"The input scores and the variation of 
the overall attribute scores being used in this sensitivity analysis are shown 
in Figures 9?",sensitivity analys.
"It is noted that the overall public perception score of 
SET 1 is unable to be varied to the upper grade score because the original 
score of this attribute is one, which is the possible maximum score assigned 
to this attribute?","noted that the overall public perception score of 
SET 1."
"The possible maximum and minimum score should be con-
sidered for attributes using the ordinal scales such as solid/liquid emission, 
three perceptions, and safety?","sion, 
three perceptions, and safety."
"8
Set 1
Set 2
Set 3
W2 (Footprint)
W3  (Emission)
Set 4
Set 5
Set 6
0?","sion)
Set 4
Set 5
Set 6
0."
"19 show the sensitiveness of input attribute scores 
for the two systems with two discrete weight combinations given in 
Table 9?","crete weight combinations given in 
Table 9."
"16a, for example, since a steeper slope indicates a more 
sensitive attribute, the air emission attribute seems to be the most sensitive 
attribute among the nine attributes?","sion attribute seems to be the most sensitive 
attribute among the nine attributes."
"This is because the cost, the footprint, and 
the emission attributes vary by only ±10% from the original values while 
the perception and the safety attributes vary by about 20 ~ 100% from the 
original values due to the graded score scale (i?",.
"10
Weight Combinations Used in This Section
Weight 
No?","Section
Weight 
No."
"Cost 
(W1)
Footprint 
(W2)
Emissions (W3)
Perception (W4)
Safety 
(W5)
Note
Air
S/L
Noise Govt?","sions (W3)
Perception (W4)
Safety 
(W5)
Note
Air
S/L
No."
"8
Set 1
Set 2
Set 3
W3 (Emission)
W4  (Perception)
Set 4
Set 5
Set 6
0?","sion)
W4  (Perception)
Set 4
Set 5
Set 6
0."
"266
Project Management for the Oil and Gas Industry
The weight factor assigned to each attribute is a very important element 
when identifying the sensitiveness of input attribute scores?","a very important element 
when identifying the sensitiveness of input attribute scores."
"17a, for 
example, the cost attribute seems to be the most sensitive attribute for SET 
1, which is not the same result shown in Figure 9?",not the same result shown in Figure 9.
"This is because the 
weight assigned to each attribute is different between these two figures?",.
"Safety
Air
Public
Cost
S/L
Noise
Foot print
20?","e
Foot print
20."
"267
Multiattribute Drilling System Selection
weight assigned to the cost attribute is 1/9 in Figure 9?",1/9 in Figure 9.
"16 while the weight is 
0?",0.
"The noise emission attribute seems to be the most sensi-
tive attribute for SET 6 with “even” weight combination as shown in Figure 
9?",e em.
"It is also ­
indicated that since the noise attribute utility curve is not 
linear, the result of the variation (±10%) does not seem to be symmetrical 
from the original value?","also ­
indicated that since the no."
"Footprint
Public
S/L
Noise
FIGURE 9?","e
FIGURE 9."
"268
Project Management for the Oil and Gas Industry
In summary, if weight factors are evenly distributed to each attribute, the 
air emission and the noise emission scores are the most sensitive inputs for 
SET 1 and SET 6 as shown in Figures 9?","tributed to each attribute, the 
air em."
"On the 
other hand, if weight factors are not evenly distributed to each attribute, 
the most sensitive input attribute can be identified after running sensitivity 
analysis described in this section?","tributed to each attribute, 
the most sensitive input attribute can be identified after running sensitivity 
analys."
"0%
% Change from base value
Noise
Air
Safety
Public
Ind?","e
Air
Safety
Public
Ind."
"269
Multiattribute Drilling System Selection
Discussion
The knapsack optimization model described below was initially solved for 
each weight combination in this case study using the Solver tool in Microsoft 
Excel?","cussion
The knapsack optimization model described below was initially solved for 
each weight combination in th."
"However, a critical issue arose while conducting the sensitivity analysis?",sue arose while conducting the sensitivity analys.
"0%
% Change from base value
Cost
Noise
Air
Safety
Public
Ind?","e
Air
Safety
Public
Ind."
", retain system with maximum final utility score), an exhaustive search 
optimization was used in this study?",study.
"One of the future research tasks 
is to implement existing, more advanced optimization methods that can effi-
ciently search the entire (not truncated) solution space using only standard 
personal computers?",to implement ex.
"A number of good optimization approaches are avail-
able from traditional branch-and-bound methods to more modern heuristic 
methods such as genetic algorithms, particle swarm optimization, and ant 
colony optimization?","tic 
methods such as genetic algorithms, particle swarm optimization, and ant 
colony optimization."
"Although the focus of the sensitivity analysis presented in this chapter has 
been on sensitivity to weights and overall input scores, the approach could 
also be applied to sensitivity to risk attitude (i?",presented in th.
", risk-averse, risk-neutral, 
and risk-seeking) or to other input parameters?","k-averse, r."
"The sensitivity to those unap-
plied input parameters is an important area for further research to suggest 
more robust optimal systems, but they involve a trade-off between increased 
computational time for the analysis and the potential for increased modeling 
accuracy?","an important area for further research to suggest 
more robust optimal systems, but they involve a trade-off between increased 
computational time for the analys."
This trade-off should be made on a case-specific basis [1]?,trade-off should be made on a case-specific bas.
"The authors intend to apply the proposed approach to many different 
areas containing selection problems in systems engineering?",as containing selection problems in systems engineering.
"However, 
it is fair to acknowledge that some limitations of this approach include the 
fact that the computational burden of the procedure may become prohibi-
tive for problems with a large number of decision variables?",fair to acknowledge that some limitations of th.
"One possible 
way to resolve this problem in this research is if the analyst can identify 
subsets that will always select the same technology for any weight com-
binations, the elimination of those subsets from further consideration can 
significantly reduce computational burdens in future steps?",problem in th.
"Knapsack Optimization Model
The optimization model for the EFD technology selection problem with nine 
attributes is given as follows:
271
Multiattribute Drilling System Selection
	
Max j
i
i
i
ij
k u X
(
)
=
∑
1
9
	
where j is the index for systems, i is the index for the attributes, ki is the weight 
assigned to the ith attribute (k must sum to 1), Xij is the overall score of the jth 
system on the ith attribute, and ui(Xij) is the single-attribute utility value for sys-
tem j on attribute i, scaled from 0 to 1?","given as follows:
271
Multiattribute Drilling System Selection
	
Max j
i
i
i
ij
k u X
(
)
=
∑
1
9
	
where j."
"Conclusion
This chapter has demonstrated a sensitivity analysis method that, when 
coupled with the multiattribute system selection method proposed by 
Yu  et  al?",chapter has demonstrated a sensitivity analys.
"[3,4], can yield strong decision support for selecting systems in 
onshore oil and gas drilling projects?","ion support for selecting systems in 
onshore oil and gas drilling projects."
"We have shown that it is possible to 
suggest a small number of suitable drilling systems that are particularly 
attractive for the case study drilling site at Green Lake, Texas?","possible to 
suggest a small number of suitable drilling systems that are particularly 
attractive for the case study drilling site at Green Lake, Texas."
"Six different 
drilling systems are suggested for this case study as shown in Figure 9?",case study as shown in Figure 9.
"The most frequently suggested optimal drilling system, SET 1, across a wide 
range of weights is only optimal for about 42% of the weight combinations 
tested, which implies that different systems would be suggested for 58% of 
plausible weight combinations?","only optimal for about 42% of the weight combinations 
tested, which implies that different systems would be suggested for 58% of 
plausible weight combinations."
"This indicates that the sensitivity analysis 
conducted in this study is a worthy topic for further investigation?",indicates that the sensitivity analys.
"According to the sensitivity analysis results described in this chapter, sensi-
tiveness of the input attribute scores varies?",results described in th.
"For example, air emission score has 
more influence on the final system selection than footprint score (see Figures 
9?","sion score has 
more influence on the final system selection than footprint score (see Figures 
9."
"Sometimes, decision makers already have enough sensitiv-
ity analysis results, but they do not know how to effectively use them for their 
decision-making process?","ion makers already have enough sensitiv-
ity analys."
"Therefore, effective displays of sensitivity analysis for 
the system selection problems would be crucial as an aid in decision-making 
process, and also as an aid in explaining the optimal EFD system selections to 
interested parties in this study?",plays of sensitivity analys.
"In addition, the display methods chosen in any 
given situation should be illustrated by the abilities and needs of the decision 
makers [1]?","play methods chosen in any 
given situation should be illustrated by the abilities and needs of the dec."
"For example, more complicated displays such as Figures 9?",plays such as Figures 9.
"11 can be used for technically trained people while simpler displays such as 
Figures 9?","plays such as 
Figures 9."
"The approach presented in this chapter is designed to help decision mak-
ers gain a deeper understanding of the system selection problems in onshore 
EFD by examining the robustness of the optimal solution to input parame-
ters such as weights and attribute scores?",chapter.
"The results of the sensitivity analy-
sis suggest more robust optimal systems for this case study?",suggest more robust optimal systems for th.
"Even though the 
272
Project Management for the Oil and Gas Industry
system selection process in onshore EFD can be computationally burden-
some, it can be very helpful for decision makers to refine their decisions on 
a more scientific basis?",ion makers to refine their dec.
"2003, Sensitivity analysis for multi-attribute proj-
ect selection problems, Civil Engineering and Environmental Systems, 20(3), 143–162?","for multi-attribute proj-
ect selection problems, Civil Engineering and Environmental Systems, 20(3), 143–162."
"1988, A multi-attribute utility analysis model for 
ranking superfund sites, Superfund 88: Proceedings of the 9th National Conference, 
Washington, DC, pp?","model for 
ranking superfund sites, Superfund 88: Proceedings of the 9th National Conference, 
Washington, DC, pp."
"2009, Systems 
approach and quantitative decision tools for technology selection in envi-
ronmentally friendly drilling, The SPE Americas E&P Environmental & Safety 
Conference, San Antonio, TX, USA?","ion tools for technology selection in envi-
ronmentally friendly drilling, The SPE Americas E&P Environmental & Safety 
Conference, San Antonio, TX, USA."
"2011, Quantitative decision 
tools for system selection in environmentally friendly drilling, Civil Engineering 
and Environmental Systems, 28(3), 185–208?","ion 
tools for system selection in environmentally friendly drilling, Civil Engineering 
and Environmental Systems, 28(3), 185–208."
"1976, Decisions with Multiple Objectives: Preferences 
and Value Tradeoffs, Cambridge University Press, New York, NY?","ions with Multiple Objectives: Preferences 
and Value Tradeoffs, Cambridge University Press, New York, NY."
"2001, Making Hard Decisions with DecisionTools, 
Duxbury, Pacific Grove, CA?",ions with Dec.
"2004, Coping with Risk in Agriculture, CABI Publishing, Cambridge, 
MA?","k in Agriculture, CABI Publ."
"1980, Use of value functions in environmental decisions, 
Environmental Management, 4(1), 3–6?","ions, 
Environmental Management, 4(1), 3–6."
"1999, Quantitative decision tools for conservation 
programme planning: Practice, theory and potential, Environmental Conservation, 
26(03), 179–189?","ion tools for conservation 
programme planning: Practice, theory and potential, Environmental Conservation, 
26(03), 179–189."
"1990, Sensitivity Analysis in Multi-Objective Decision Making, 
Springer-Verlag, New York, NY?",in Multi-Objective Dec.
"2012, Sensitivity analysis for 
multi-attribute system selection problems in onshore environmentally friendly 
drilling (EFD), Systems Engineering, 15(2), 153–171?","for 
multi-attribute system selection problems in onshore environmentally friendly 
drilling (EFD), Systems Engineering, 15(2), 153–171."
"273
10
Managing Construction Projects 
in Oil and Gas*
Introduction
Construction is an integral part of the oil and gas industry?",an integral part of the oil and gas industry.
"From basic office 
structure construction to oil rig platform construction, there are unique aspects 
of the oil and gas business that must be addressed?","unique aspects 
of the oil and gas business that must be addressed."
"Oil and gas construction 
projects are different from that of conventional manufacturing or service enter-
prises?",es.
"In oil and gas construction project, the focus 
is on the fulfillment of the owner’s requirements with respect to the defined 
scope of work within the available budget and the specified schedule?","on the fulfillment of the owner’s requirements with respect to the defined 
scope of work within the available budget and the specified schedule."
"The 
attendant risks that exist in the oil and gas business make the management of 
construction projects particularly dicey?",ks that ex.
"Specialized tools are needed, 
such as plan, do, check, act (PDCA); define, measure, analyze, improve, con-
trol (DMAIC); suppliers, inputs, process, outputs, customers (SIPOC); design, 
evaluate, justify, integrate (DEJI); quality function deployment (QFD); affin-
ity diagrams; flowcharts; Pareto charts; and histograms; many of which are 
addressed earlier in Chapters 5 through 7?","tograms; many of which are 
addressed earlier in Chapters 5 through 7."
"Project Definition
PMI (2004) defines the word project in terms of its distinctive characteristics: 
“A project is a temporary endeavor undertaken to create a unique product 
or service?",tinctive character.
"“Unique” means that the product or service is different in 
some distinguishing way from all similar products or services?","different in 
some d."
"It further states that projects are often critical components of the perform-
ing organization business strategy?","often critical components of the perform-
ing organization business strategy."
"Abdul Razzak, Quality Management in Construction Projects, Taylor & 
Francis/CRC Press, Boca Raton, FL?","/CRC Press, Boca Raton, FL."
With permission?,sion.
"274
Project Management for the Oil and Gas Industry
•	 Developing a new product or service
•	 Effecting a change in structure, staffing, or style of an organization
•	 Designing a new transportation vehicle/aircraft
•	 Developing or acquiring a new or modified information system
•	 Running a campaign for political office
•	 Implementing a new business procedure or process
•	 Constructing a building or facility
The duration of a project is finite; projects are not ongoing efforts, and the 
project ceases when its declared objectives have been attained?","finite; projects are not ongoing efforts, and the 
project ceases when its declared objectives have been attained."
"Among other 
shared characteristics, projects are
	
1?","tics, projects are
	
1."
"An undertaking requiring concrete effort
The “plan” is defined as
	
1?","defined as
	
1."
"A scheme, program, or method worked beforehand for the accom-
plishment of an objective; a plan of attack
	
2?","hment of an objective; a plan of attack
	
2."
", cut across several lines)
Based on various definitions, the project can be defined as follows: “A proj-
ect is a plan or program performed by the people with assigned resources to 
achieve an objective within a finite duration?","a plan or program performed by the people with assigned resources to 
achieve an objective within a finite duration."
"”
275
Managing Construction Projects in Oil and Gas
Construction Projects
Construction has a history of several thousand years?",tory of several thousand years.
"This can be seen from the great civilizations in different parts of 
the world—some 4000–5000 years ago?","can be seen from the great civilizations in different parts of 
the world—some 4000–5000 years ago."
"Marcus Vitruvius Pollo, the first century military and civil engineer, 
penned in Rome the world’s first major treatise on architecture and con-
struction?","e on architecture and con-
struction."
"During the Middle Ages (476–1492), improvements occurred in agricul-
ture and artisanal productivity and exploration, and as a consequence, the 
broadening of commerce took place and in the late Middle Ages, building 
construction became a major industry?","anal productivity and exploration, and as a consequence, the 
broadening of commerce took place and in the late Middle Ages, building 
construction became a major industry."
"Craftsmen were given training and 
education in order to develop skills and to raise their status?",e their status.
"At this time, 
guilds came up to identify true craftsmen and set standards for quality?","time, 
guilds came up to identify true craftsmen and set standards for quality."
"The fifteenth century brought a “renaissance” or renewal in architecture, 
building, and science?","sance” or renewal in architecture, 
building, and science."
"During this period, skyscrapers, long-span dams, shells, and bridges 
were developed to satisfy new requirements and marked the continuing 
progress of construction techniques?","period, skyscrapers, long-span dams, shells, and bridges 
were developed to sat."
"The provision of services such as heat-
ing, air conditioning, electrical lighting, water mains, and elevators in build-
ings became common?","ion of services such as heat-
ing, air conditioning, electrical lighting, water mains, and elevators in build-
ings became common."
"Building 
construction is a labor-intensive endeavor?",a labor-intensive endeavor.
"Every construction project has 
some elements that are unique?",unique.
"No two construction or R&D projects are 
alike?",alike.
"Though it is clear that many building projects are more routine than 
research and development projects, some degree of customization is a char-
acteristic of the projects?","clear that many building projects are more routine than 
research and development projects, some degree of customization."
"These are
	
1?",1.
